id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0N9XNSHFGjrR4pcypVh99T,0.434,0.241,10.0,-10.508,1.0,0.0315,0.891,2.46e-05,0.126,0.361,100.832,4.0
3lW6QEarpRYNxg2YhsTX5g,0.543,0.742,6.0,-6.648,0.0,0.0485,0.78,7.68e-06,0.073,0.706,124.049,3.0
46XuSxpXXWZx440uKeuU5o,0.306,0.25,11.0,-21.045,1.0,0.0496,0.821,0.838,0.085,0.269,103.109,5.0
5czHXYctLN5J5ARoZOzC7b,0.506,0.594,6.0,-9.417,0.0,0.0591,0.9,0.000561,0.113,0.715,82.236,4.0
1DPGdbmXF4Hkv7OzXLoKL2,0.66,0.428,2.0,-10.692,1.0,0.342,0.876,0.000132,0.0671,0.578,139.547,5.0
7hAjHYFUJ33CgDDxspdPYp,0.366,0.626,11.0,-11.864,1.0,0.0461,0.562,0.826,0.228,0.811,169.412,3.0
7hpM8eZtqKmf2ULaxXwxDh,0.623,0.323,8.0,-13.792,1.0,0.101,0.781,4.44e-06,0.103,0.466,155.919,3.0
6oZx2PKJUvNViA4drFgqo0,0.856,0.31,9.0,-16.974,0.0,0.33,0.616,5.67e-05,0.0505,0.804,93.482,4.0
2Llqf9Yk3DNpAlY9U1vyNU,0.527,0.454,3.0,-8.644,0.0,0.113,0.851,5.96e-05,0.154,0.538,148.784,3.0
3pOY77lJWYWq7iC4iWIQ4F,0.525,0.51,5.0,-9.235,0.0,0.057,0.949,0.014,0.142,0.566,134.821,4.0
4ChmEXjqL1ObEHBnNUdWRz,0.439,0.682,11.0,-2.619,0.0,0.0429,0.722,1.28e-05,0.119,0.479,141.014,4.0
0yiB9I59XdaeZ78keHL9Z4,0.38,0.218,2.0,-16.46,0.0,0.0471,0.949,0.86,0.239,0.395,103.656,3.0
7aQsxf7CGT7juq0cWphg5y,0.373,0.682,0.0,-6.24,1.0,0.224,0.692,0.00445,0.121,0.583,82.511,4.0
03RDXo0vocWgLUMKMUaSjL,0.435,0.15,5.0,-22.505,0.0,0.056,0.605,0.879,0.139,0.527,93.621,3.0
53Xwg6nzHAphVWT3to93qg,0.571,0.646,2.0,-9.109,1.0,0.112,0.557,9.97e-06,0.338,0.543,104.939,3.0
7vWVCTXIBA4RvTareSlZ7X,0.558,0.561,9.0,-11.184,1.0,0.091,0.795,0.000148,0.0645,0.591,124.564,5.0
0hx9Db35YUipQv78czi7PP,0.351,0.229,5.0,-11.581,1.0,0.0459,0.946,0.846,0.132,0.186,79.459,4.0
3SC2tfxaW19tiEO51sVtnm,0.464,0.262,5.0,-11.054,0.0,0.0556,0.946,0.000247,0.13,0.264,79.367,3.0
40ooZvE9wvUQ8oNfSzs73N,0.537,0.249,8.0,-15.097,1.0,0.0303,0.688,0.0139,0.135,0.275,93.015,4.0
7w9UoMZ5Jk22dFdNHi7pBU,0.697,0.268,0.0,-12.495,1.0,0.0355,0.838,0.00144,0.314,0.366,116.0,4.0
1algWk375QvT1XNJJbRsGM,0.824,0.377,1.0,-8.859,0.0,0.452,0.327,0.0,0.121,0.403,85.014,4.0
6zX7KSFicewSnSeT3W2tvN,0.586,0.826,9.0,-5.884,1.0,0.0274,0.0144,0.0307,0.088,0.612,143.986,4.0
2LewcRYN0lmAPcqzhPiDnx,0.579,0.189,8.0,-14.456,1.0,0.0983,0.118,0.0,0.2,0.217,150.045,3.0
7ifjN5DxB3r1hKnqjRDO1a,0.893,0.224,0.0,-14.37,1.0,0.0569,0.609,0.0981,0.247,0.299,117.983,4.0
7f1BZ7o9IWCnWh9yu71nMu,0.662,0.387,9.0,-11.236,1.0,0.0514,0.435,0.0,0.1,0.726,173.193,4.0
48fSe5XXSej9Gc0L9QlNGN,0.617,0.403,1.0,-11.722,1.0,0.395,0.405,3.1e-06,0.637,0.313,179.855,4.0
7uOCu5eahcVWVAuObNzwZC,0.428,0.315,5.0,-11.42,1.0,0.0812,0.931,0.0,0.112,0.352,84.182,4.0
6HlWtggWotj9bUNcPGEeLS,0.611,0.202,10.0,-12.898,1.0,0.0371,0.692,0.000446,0.125,0.168,73.019,4.0
3osNsDFkJoDg5pQ4OtndfE,0.801,0.319,7.0,-7.869,1.0,0.48,0.308,0.000243,0.0999,0.144,169.99,4.0
3HQxzXOb4p9pfpD5gP38D5,0.886,0.482,7.0,-9.882,1.0,0.175,0.396,0.0,0.115,0.568,124.956,4.0
2reL9PAUza4PUtbjqW1fRf,0.545,0.478,8.0,-7.035,0.0,0.0559,0.785,0.00278,0.123,0.318,173.746,4.0
7gVESyKinmw7wpQEBM9x69,0.559,0.645,4.0,-7.412,1.0,0.0401,0.0193,0.0322,0.119,0.697,160.057,4.0
69ZaPBHhRMRDjRpW1ivnOU,0.767,0.379,0.0,-10.348,1.0,0.0385,0.668,0.000145,0.217,0.252,103.956,4.0
6N4ioa3XSbvjmwdVEERl8F,0.913,0.369,2.0,-5.299,1.0,0.12,0.476,0.00609,0.309,0.436,135.019,4.0
1E7KyJ8EYd92qZ4EQPWrWJ,0.723,0.322,1.0,-7.957,1.0,0.0356,0.929,0.0048,0.222,0.397,109.999,4.0
7o0oY5wRcoV7oPuDhD2J1z,0.729,0.805,6.0,-3.83,1.0,0.184,0.19,0.225,0.0909,0.345,191.994,4.0
7xLYLM5K6S1TwiSdfuhZQg,0.788,0.526,9.0,-8.082,0.0,0.071,0.524,0.0,0.285,0.584,89.012,4.0
5NNZcUQ1VJw4LDtID4emmU,0.627,0.313,8.0,-11.434,1.0,0.408,0.933,5.9e-05,0.106,0.749,172.245,4.0
1VUJG5EPMi9owSvHreSCJF,0.796,0.615,8.0,-10.49,1.0,0.436,0.857,0.0018,0.58,0.527,106.978,4.0
6eNaF2R952oqEi7BEf9ySF,0.735,0.328,1.0,-11.972,0.0,0.0556,0.888,0.00196,0.149,0.365,119.993,4.0
5gEUDNQvoQjdjklrwPdGwD,0.761,0.296,0.0,-10.22,1.0,0.0484,0.551,0.000492,0.134,0.579,127.938,4.0
23OYFfmHaZbTOi1wWx80WV,0.762,0.423,1.0,-9.855,1.0,0.232,0.656,0.0572,0.117,0.204,145.012,4.0
285pBltuF7vW8TeWk8hdRR,0.511,0.566,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.903,4.0
4BPPnB4QD4eXI251VjifTL,0.804,0.615,8.0,-5.257,1.0,0.0418,0.174,7.89e-05,0.128,0.776,134.007,4.0
4bF2y8rR7GUjrd5LNEvej3,0.57,0.455,1.0,-5.748,0.0,0.0996,0.441,0.000746,0.0654,0.399,167.933,4.0
4ZL7RxR7Ce5sXDhaWkAaGa,0.722,0.569,11.0,-6.945,1.0,0.0729,0.428,0.00242,0.0987,0.685,87.066,4.0
5o9NxjgOMpdGDYswuNv7yu,0.52,0.728,11.0,-4.431,0.0,0.0943,0.0748,0.000687,0.151,0.399,118.396,4.0
2xoBzKUr7zr7N9uK0tkVTO,0.754,0.407,8.0,-8.123,0.0,0.119,0.534,0.00015,0.138,0.508,157.025,4.0
4vCAzANUWDE24URV6wQ4ra,0.514,0.646,1.0,-8.833,1.0,0.275,0.197,2.3e-05,0.0958,0.297,88.661,4.0
4Uy3Q3h0VbWWyyiB1MmRoP,0.686,0.411,10.0,-8.265,0.0,0.0401,0.207,1.42e-06,0.188,0.185,130.113,4.0
6w8yBI2vthyN9UnwO4UBWb,0.729,0.513,5.0,-6.345,0.0,0.0455,0.494,1.1e-06,0.137,0.789,170.064,3.0
4iDhQFNWG6uHWi7LOKhmkP,0.821,0.65,5.0,-5.877,1.0,0.103,0.239,0.000138,0.11,0.604,164.033,4.0
3wYRLYuO1M88d8woWUIxct,0.85,0.536,1.0,-5.161,1.0,0.0599,0.267,3.89e-05,0.0996,0.505,96.029,4.0
14M8dLdMYo5rTxDVvIp85o,0.457,0.42,4.0,-7.27,1.0,0.103,0.904,0.0,0.0988,0.261,87.035,4.0
0D3hXbWvf69dmMmYUZpOk7,0.602,0.572,5.0,-7.361,1.0,0.0518,0.285,0.0,0.0855,0.313,174.043,4.0
